Epoch: 144	,Training loss (MRSE): 0.7021	,Validation loss (MRSE): 0.806481	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46203e+07	,Training accuracy (MRAE): 0.21928	,Validation accuracy (MRAE): 0.138652
Epoch: 146	,Training loss (MRSE): 0.701711	,Validation loss (MRSE): 0.806285	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219208	,Validation accuracy (MRAE): 0.138648
Epoch: 148	,Training loss (MRSE): 0.702352	,Validation loss (MRSE): 0.806607	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218963	,Validation accuracy (MRAE): 0.138563
Epoch: 150	,Training loss (MRSE): 0.701688	,Validation loss (MRSE): 0.806273	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219195	,Validation accuracy (MRAE): 0.138645
Epoch: 152	,Training loss (MRSE): 0.701712	,Validation loss (MRSE): 0.806286	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.462e+07	,Training accuracy (MRAE): 0.219208	,Validation accuracy (MRAE): 0.138647
Epoch: 154	,Training loss (MRSE): 0.701882	,Validation loss (MRSE): 0.806371	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46202e+07	,Training accuracy (MRAE): 0.219297	,Validation accuracy (MRAE): 0.138667
Epoch: 156	,Training loss (MRSE): 0.702902	,Validation loss (MRSE): 0.806882	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46209e+07	,Training accuracy (MRAE): 0.218163	,Validation accuracy (MRAE): 0.138395
Epoch: 158	,Training loss (MRSE): 0.702588	,Validation loss (MRSE): 0.806725	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46207e+07	,Training accuracy (MRAE): 0.218645	,Validation accuracy (MRAE): 0.138486
Epoch: 160	,Training loss (MRSE): 0.702181	,Validation loss (MRSE): 0.806521	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46204e+07	,Training accuracy (MRAE): 0.219191	,Validation accuracy (MRAE): 0.138623
Epoch: 162	,Training loss (MRSE): 0.701024	,Validation loss (MRSE): 0.805939	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03706e+07	,Validation accuracy (MAE): -7.46196e+07	,Training accuracy (MRAE): 0.218885	,Validation accuracy (MRAE): 0.1386
Epoch: 164	,Training loss (MRSE): 0.702309	,Validation loss (MRSE): 0.806585	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.219025	,Validation accuracy (MRAE): 0.138578
Epoch: 166	,Training loss (MRSE): 0.700301	,Validation loss (MRSE): 0.805573	,Training loss (MSE): 1.52882e+17	,Validation loss (MSE): 1.93021e+17	,Training accuracy (MAE): -6.03707e+07	,Validation accuracy (MAE): -7.4619e+07	,Training accuracy (MRAE): 0.21858	,Validation accuracy (MRAE): 0.138618
Epoch: 168	,Training loss (MRSE): 0.702411	,Validation loss (MRSE): 0.806637	,Training loss (MSE): 1.52881e+17	,Validation loss (MSE): 1.9302e+17	,Training accuracy (MAE): -6.03705e+07	,Validation accuracy (MAE): -7.46205e+07	,Training accuracy (MRAE): 0.218892	,Validation accuracy (MRAE): 0.138543
